"","gender","condtn","order","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field_cd","race","imprace","imprelig","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","diff.att","diff.amb","diff.sinc","diff.intel","diff.fun"
"11","0","2",11,"0",0.02,"0",25,"4",20,20,20,20,5,15,"1",9,8,7,7,7,8,8,6,2,23,"SocialWork","2",2,4,"FunNightOut","1/Month","2/Week","IntlAffairs",9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8,0,1,0,1,1
"12","1","2",15,"1",-0.2,"1",26,"1",20,20,20,10,20,10,"1",10,8,9,10,10,7,9,4,2,28,"PoliSci","1",7,1,"FunNightOut","2/Week","SVRL/Week","Banking/Consulting",10,5,8,8,7,5,10,7,9,7,4,7,9,5,10,1,1,6,20,18,20,17,10,15,10,21,22,15,15,17,8,10,8,10,10,0,0,1,1,0
"13","1","2",18,"0",0.64,"0",26,"1",20,20,20,10,20,10,"0",7,4,9,6,7,3,7,3,2,27,"SocScie/Psych","2",2,5,"Other","1/Month","1/Month","Academic/Research",4,4,2,4,7,5,8,1,2,6,2,6,8,7,5,3,9,2,20,20,20,15,5,20,25,10,10,25,20,10,7,8,6,8,5,0,0,1,0,0
"14","1","2",15,"0",-0.13,"0",21,"4",10,20,40,10,10,10,"0",6,6,5,7,5,6,6,5,2,21,"Law","2",10,9,"FunNightOut","2/Month","SVRL/Week","Lawyer",8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,5,15,20,15,30,5,15,10,15,20,20,25,10,5,8,6,8,7,0,1,1,1,0
"15","0","2",7,"0",-0.21,"1",26,"2",18,18,18,19,13,14,"1",6,6,6,8,6,7,6,5,2,28,"English","2",6,9,"ToSayIDidIt","1/Month","2/Week","Entertainment",6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7,4,5,10,10,20,20,20,20,40,5,15,20,10,10,8,7,8,7,7,1,1,1,1,0
"16","0","2",2,"0",0.22,"0",28,"2",40,15,20,10,5,10,"0",6,9,9,8,9,6,6,6,2,23,"Law","1",8,1,"FunNightOut","2/Month","1/Week","Lawyer",7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,2,50,10,20,10,10,0,70,5,5,15,0,5,8,2,7,8,8,1,0,0,0,0
"17","0","2",9,"0",-0.06,"1",32,"2",50,0,10,30,0,10,"0",3,7,6,7,5,5,6,7,2,23,"SocScie/Psych","2",8,9,"MeetNewPpl","2/Month","1/Week","Academic/Research",5,3,7,7,8,10,2,2,1,8,6,10,8,9,10,6,7,7,20,20,20,15,5,20,30,5,15,30,0,20,8,10,8,9,7,1,1,1,1,1
"18","0","1",9,"0",0.51,"0",28,"2",20.45,20.45,20.45,18.18,18.18,2.27,"0",5,8,7,7,5,5,6,7,2,35,"SocScie/Psych","4",5,5,"MeetNewPpl","2/Month","2/Week","DocMed",3,4,7,9,8,8,8,2,9,8,8,8,8,8,9,6,8,5,15.22,17.39,17.39,17.39,15.22,17.39,22.73,11.36,11.36,18.18,18.18,18.18,9,9,7,8,7,1,1,1,1,0
"19","0","2",17,"0",0.12,"0",27,"4",15.56,17.78,17.78,17.78,17.78,13.33,"1",7,6,7,6,6,5,7,6,2,24,"PoliSci","6",2,1,"FunNightOut","2/Month","1/Week","Banking/Consulting",6,1,4,10,8,8,4,7,5,9,6,5,10,8,10,7,3,3,14,18,20,18,16,14,23.81,14.29,19.05,16.67,14.29,11.9,7,8,9,9,7,0,1,1,1,1
"20","0","2",19,"0",0.65,"0",25,"4",15,30,20,20,10,5,"0",7,10,10,5,5,4,5,1,2,23,"English","2",8,5,"FunNightOut","SVRL/Year","1/Week","Journalism",10,10,8,9,9,8,10,3,8,9,8,9,10,7,10,5,9,6,20,20,20,15,10,15,30,15,20,15,5,15,8,10,8,10,8,1,1,0,0,1
"21","1","2",19,"0",-0.47,"0",26,"2",10,30,20,15,15,10,"1",7,7,7,8,7,6,7,6,2,24,"Engineering","4",9,6,"FunNightOut","AlmostNever","2/Week","Engineer",8,8,5,8,8,5,5,9,8,8,8,6,8,8,8,8,3,8,20,16,16,17,16,15,20,16,16,17,16,15,7,9,9,8,9,0,1,1,1,1
"22","0","2",2,"0",0.71,"1",28,"2",30,30,20,10,10,0,"0",4,7,8,5,7,3,6,9,2,34,"English","2",5,7,"MeetNewPpl","AlmostNever","2/Week","Academic/Research",1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,4,1,0,0,0,1
"23","1","2",11,"0",-0.37,"1",26,"4",20,30,10,15,10,15,"0",5,5,5,6,6,5,5,6,2,28,"Business","4",1,2,"FunNightOut","2/Month","SVRL/Week","Banking/Consulting",10,6,1,7,3,6,10,5,3,10,6,5,7,6,8,2,1,7,20,30,10,20,0,20,30,20,15,15,20,0,4,9,10,8,8,0,1,1,1,1
"24","0","2",6,"0",0.31,"0",29,"4",15,20,20,20,5,20,"1",8,8,8,8,8,8,8,8,2,24,"Other","2",1,1,"Other","AlmostNever","SVRL/Week","Undecided",4,2,9,8,5,6,4,3,2,8,5,5,7,6,8,4,2,5,10,20,20,15,20,15,45,5,15,15,10,10,7,9,7,8,8,0,0,1,0,0
"25","1","1",6,"0",-0.24,"1",25,"2",35,10,35,10,10,0,"0",7,9,10,7,8,9,8,7,1,27,"Business","2",7,3,"FunNightOut","1/Month","2/Month","Academic/Research",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,1,0,0,0,0
"26","0","1",1,"1",0.33,"1",30,"4",60,10,10,10,5,5,"1",8,10,9,7,8,8,8,7,2,25,"Engineering","4",1,1,"MeetNewPpl","2/Month","1/Week","Academic/Research",5,7,7,7,8,7,7,6,6,7,8,9,9,8,8,8,6,8,10,20,20,20,10,20,30,20,10,20,10,10,7,9,6,8,3,0,0,0,0,0
"27","1","2",2,"0",0.22,"1",31,"2",12,25,25,8,15,15,"0",8,7,7,7,5,5,5,4,2,27,"Business","2",3,1,"ToSayIDidIt","AlmostNever","SVRL/Week","IntlAffairs",10,7,7,3,3,3,3,3,3,4,5,3,6,10,10,1,7,6,40,0,10,50,0,0,15,15,15,15,20,20,10,8,10,10,10,1,1,1,1,1
"28","0","2",9,"0",-0.01,"0",25,"4",20,20,20,20,5,15,"0",6,8,8,6,8,3,7,4,2,27,"SocScie/Psych","2",5,8,"MeetNewPpl","SVRL/Year","2/Week","Banking/Consulting",6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,7,10,10,30,25,10,15,30,10,15,20,10,15,7,8,7,9,5,1,0,0,1,1
"29","1","2",10,"0",0.24,"0",26,"2",19.61,15.69,17.65,15.69,17.65,13.73,"0",7,7,9,8,7,8,8,8,2,30,"PoliSci","3",1,1,"FunNightOut","SVRL/Year","1/Week","IntlAffairs",5,2,7,9,9,6,8,1,9,9,1,8,9,9,10,1,7,5,18.6,20.93,23.26,23.26,2.33,11.63,18.18,11.36,15.91,18.18,20.45,15.91,8,8,8,9,3,1,0,1,0,0
"30","0","2",1,"1",-0.24,"0",25,"1",30,15,20,20,0,5,"1",8,8,10,9,7,7,8,10,1,25,"Law","6",6,8,"FunNightOut","1/Week","2/Week","Lawyer",4,2,5,7,7,5,7,3,5,7,7,10,8,8,7,6,2,5,15,3,50,20,2,10,65,0,8,20,2,5,6,7,7,9,8,0,1,0,0,0
"31","0","1",8,"0",-0.35,"0",27,"6",10,20,25,20,20,5,"1",7,7,8,7,9,6,7,5,2,22,"Engineering","4",3,3,"FunNightOut","AlmostNever","1/Week","Undecided",8,7,7,8,5,5,2,2,9,5,7,2,8,4,9,5,2,7,15,25,15,20,10,15,50,10,5,15,5,15,8,10,9,7,9,1,0,1,0,1
"32","1","2",6,"0",0.07,"0",24,"2",20,10,20,35,5,10,"0",6,9,8,5,6,9,7,7,2,27,"Business","4",1,1,"FunNightOut","SVRL/Year","2/Week","Banking/Consulting",4,6,8,9,6,7,8,6,6,7,7,8,9,7,10,2,1,6,20,20,20,20,20,0,20,20,20,20,20,0,6,7,8,8,9,0,1,0,0,1
"33","0","2",8,"0",-0.19,"1",27,"2",20,20,20,20,10,10,"0",7,5,6,2,10,3,6,5,2,28,"Film","2",8,1,"MeetNewPpl","AlmostNever","1/Week","Entertainment",6,5,10,10,9,9,6,8,3,8,10,8,10,9,9,9,1,6,25,25,25,10,10,5,80,0,10,10,0,0,7,7,7,7,10,0,0,1,1,1
"34","0","2",4,"0",-0.52,"0",26,"2",20,35,20,10,10,5,"0",6,8,9,8,8,9,8,6,2,21,"SocScie/Psych","4",9,6,"FunNightOut","SVRL/Week","SVRL/Week","Psychologist",2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,5,10,20,40,10,10,10,40,5,20,20,5,10,5,8,6,7,8,0,0,0,0,0
"35","0","1",2,"0",0.32,"0",28,"2",20.45,20.45,20.45,18.18,18.18,2.27,"0",5,8,7,6,6,8,5,6,2,29,"Business","4",1,1,"SRSRelationship","1/Month","1/Week","Banking/Consulting",5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,9.52,23.81,16.67,16.67,16.67,16.67,17.07,17.07,14.63,19.51,12.2,19.51,9,10,8,8,6,1,0,1,1,1
"36","1","2",17,"0",0.53,"1",26,"2",19.61,15.69,17.65,15.69,17.65,13.73,"1",9,9,8,9,7,8,8,4,1,23,"Business","2",1,3,"MeetNewPpl","1/Week","SVRL/Week","Entertainment",10,7,8,6,7,7,3,2,8,4,5,6,7,4,9,2,4,3,25.64,17.95,15.38,20.51,10.26,10.26,19.05,16.67,19.05,11.9,19.05,14.29,10,10,10,10,10,1,1,1,1,1
"37","1","1",9,"0",0.34,"1",22,"2",10,20,20,20,15,15,"0",8,9,10,10,9,10,9,8,3,25,"Engineering","2",3,1,"ToSayIDidIt","AlmostNever","2/Week","Engineer",8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,9,30,0,30,30,10,0,30,0,10,30,10,20,7,9,9,8,7,0,0,0,0,0
"38","1","2",11,"0",0.67,"1",22,"2",10,20,15,20,15,20,"1",7,9,9,7,8,7,7,7,2,30,"Business","2",1,1,"MeetNewPpl","1/Week","SVRL/Week","Banking/Consulting",9,6,9,7,8,8,2,2,8,9,4,9,8,9,9,6,5,6,25,20,20,20,0,15,25,20,10,25,15,5,7,9,8,8,8,0,0,0,0,1
"39","0","1",3,"0",-0.31,"1",21,"2",40,15,10,20,10,5,"1",7,7,7,7,8,6,6,7,2,21,"PoliSci","2",4,1,"FunNightOut","SVRL/Week","SVRL/Week","Undecided",5,4,3,10,10,10,6,4,8,10,10,10,10,10,10,10,8,7,15,15,25,25,20,0,30,5,10,30,5,20,8,9,8,9,9,1,1,1,1,1
"40","0","2",14,"1",0.06,"1",28,"2",20,10,20,20,20,0,"1",8,9,8,7,8,7,8,7,2,24,"Business","2",7,4,"Other","2/Week","SVRL/Week","Banking/Consulting",8,4,9,9,9,9,8,5,8,9,8,9,9,9,9,9,9,7,20,20,20,20,20,0,60,5,15,10,5,5,8,8,8,8,8,0,0,0,0,1
"41","0","2",2,"1",0.7,"0",26,"2",24,16,28,14,8,10,"1",8,10,9,7,5,8,9,10,2,26,"Bio","4",1,4,"FunNightOut","AlmostNever","2/Week","Academic/Research",6,4,3,9,9,8,3,5,8,9,2,9,9,9,9,4,6,3,15,20,20,20,15,10,45,10,10,20,5,10,5,8,7,7,8,0,1,0,0,0
"42","1","2",15,"0",0.54,"0",25,"6",7,35,20,20,5,13,"0",6,5,9,4,6,2,5,3,2,27,"SocScie/Psych","2",3,5,"FunNightOut","SVRL/Year","1/Week","Academic/Research",9,5,3,8,5,5,6,4,4,9,2,6,7,5,7,2,2,5,20,20,15,25,10,10,30,20,5,25,10,10,5,8,7,8,7,0,1,1,0,1
"43","1","2",9,"0",0.53,"1",23,"2",15,15,18,18,14,20,"0",7,7,9,7,10,7,5,4,2,25,"PoliSci","2",3,7,"MeetNewPpl","SVRL/Year","2/Week","IntlAffairs",7,3,9,9,9,9,9,9,3,5,7,9,10,9,10,5,10,3,50,5,5,5,5,30,25,5,5,5,30,30,9,6,7,10,10,1,0,0,1,0
"44","0","2",10,"0",0.25,"0",28,"4",16.28,20.93,18.6,18.6,13.95,11.63,"1",6,6,7,5,7,7,6,5,2,27,"Business","2",8,3,"Other","2/Month","SVRL/Week","Banking/Consulting",10,7,8,8,6,6,6,1,6,8,7,7,8,6,6,3,2,7,15.38,17.31,17.31,17.31,17.31,15.38,16.67,16.67,16.67,16.67,16.67,16.67,8,9,9,9,9,1,1,1,1,1
"45","1","2",11,"0",0.56,"0",30,"3",15,20,20,20,5,10,"0",5,4,6,5,4,3,4,5,2,22,"Engineering","4",7,1,"FunNightOut","1/Month","SVRL/Week","Lawyer",6,6,7,10,8,8,3,3,6,10,8,10,10,10,10,10,1,7,20,5,25,25,5,20,15,10,15,25,15,25,7,9,9,9,7,1,1,1,1,1
"46","1","2",2,"0",0.22,"0",29,"2",20,10,50,5,10,5,"0",0,10,10,3,10,5,6,9,2,30,"Business","4",3,1,"MeetNewPpl","1/Week","1/Week","Banking/Consulting",3,3,2,4,4,3,3,4,3,6,7,5,7,7,8,6,6,3,20,40,5,20,5,10,20,40,10,10,10,10,2,4,4,4,4,1,0,0,0,1
"47","0","2",17,"0",0.16,"0",30,"2",31.58,10.53,15.79,21.05,10.53,10.53,"0",4,8,8,4,3,3,3,3,2,26,"Education","1",1,1,"ToSayIDidIt","SVRL/Year","SVRL/Week","Politics",1,1,2,10,3,3,1,1,8,2,5,3,8,1,7,10,1,5,30,5,10,20,30,5,30,5,10,20,30,5,8,6,10,10,10,1,1,0,1,1
"48","0","2",3,"0",0.16,"1",23,"1",20,25,25,10,10,10,"0",5,8,9,7,10,8,7,7,2,27,"Education","1",1,2,"FunNightOut","SVRL/Year","2/Week","Engineer",1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8,4,20,20,20,10,10,20,50,10,10,10,10,10,7,8,7,8,7,1,0,0,0,0
"49","1","2",17,"0",0.58,"0",21,"4",10,20,40,10,10,10,"0",6,6,6,8,6,5,6,5,2,22,"Undergrad","2",9,2,"FunNightOut","1/Month","2/Week","Entertainment",3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6,2,6,30,15,25,25,5,0,30,15,25,25,5,0,7,9,6,7,6,1,0,1,1,0
"50","1","2",15,"1",0.22,"1",24,"2",20,10,30,15,15,10,"1",8,7,8,6,10,5,8,7,2,25,"Bio","2",7,1,"GetADate","2/Month","2/Week","Academic/Research",7,1,6,5,2,3,5,3,4,9,6,3,8,1,2,1,1,7,27,15,28,10,10,10,40,3,25,8,13,11,8,9,6,10,7,0,0,1,1,0
"51","1","2",1,"0",0.13,"0",24,"2",10,15,30,20,15,10,"0",6,9,8,4,9,6,6,4,2,26,"Engineering","4",8,3,"FunNightOut","2/Week","2/Week","Engineer",7,8,6,8,6,4,4,8,6,9,7,6,8,6,7,5,2,6,25,20,20,20,5,10,20,20,20,20,10,10,7,9,7,8,8,1,0,0,0,1
"52","1","2",20,"1",0.06,"0",29,"6",20,20,20,10,10,20,"1",6,8,8,7,7,8,7,7,2,23,"Engineering","4",1,1,"GetADate","SVRL/Year","2/Week","Banking/Consulting",3,3,9,10,4,5,8,6,9,7,5,5,8,7,5,8,5,7,25,20,20,20,5,10,20,25,15,30,5,5,5,7,8,8,3,0,0,0,0,1
"53","1","2",6,"0",-0.13,"1",27,"2",15.09,18.87,18.87,16.98,16.98,13.21,"0",3,8,8,4,8,6,5,7,2,22,"Math","2",5,7,"FunNightOut","2/Month","SVRL/Week","Academic/Research",10,8,9,6,5,6,7,4,8,7,4,5,6,9,10,3,6,3,18.37,18.37,20.41,20.41,16.33,6.12,14.58,18.75,18.75,20.83,16.67,10.42,7,9,9,9,9,1,1,1,1,1
"54","0","2",3,"0",0.41,"0",28,"1",20,18,20,17,10,15,"0",7,10,8,4,5,4,5,4,2,23,"Bio","4",2,4,"MeetNewPpl","1/Month","SVRL/Week","Academic/Research",8,4,6,9,8,7,8,4,6,9,2,7,5,6,7,6,4,5,16,16,19,17,14,18,19,13,17,19,16,16,5,4,7,8,6,0,1,0,0,1
"55","1","2",8,"1",0.52,"0",23,"4",16,16,19,17,14,18,"1",6,7,8,7,6,6,7,6,2,25,"Bio","2",2,1,"GetADate","SVRL/Year","2/Week","Academic/Research",8,1,5,5,6,5,5,4,2,10,2,7,10,7,8,2,2,5,25,20,30,15,5,5,20,10,30,15,15,10,5,9,5,8,6,0,0,1,0,0
"56","1","2",2,"0",0.22,"0",23,"1",50,10,20,10,10,0,"0",3,9,9,3,9,5,2,1,2,28,"MedSci","2",2,2,"MeetNewPpl","SVRL/Year","2/Week","DocMed",8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3,6,40,15,20,10,5,10,30,15,20,15,10,10,8,9,8,8,8,1,0,0,0,1
"57","0","2",14,"0",0.14,"0",27,"3",30,25,10,20,0,15,"0",5,5,6,4,7,4,5,3,2,27,"Education","4",5,8,"MeetNewPpl","AlmostNever","1/Week","Banking/Consulting",10,9,7,10,10,10,10,5,4,10,7,7,5,8,10,10,3,7,15,15,25,15,15,15,50,10,10,10,10,10,7,10,7,9,10,1,1,1,1,1
"58","0","2",9,"0",0.2,"1",32,"2",25,15,20,25,10,5,"0",5,5,7,5,8,2,5,4,2,23,"SocialWork","2",10,9,"MeetNewPpl","2/Month","SVRL/Week","SocialWork",8,7,10,9,10,10,5,5,6,7,7,9,9,9,8,9,5,8,10,15,40,15,10,10,30,10,30,10,10,10,9,10,10,9,10,1,1,1,1,1
"59","1","2",5,"1",0.7,"1",24,"2",20,20,20,20,20,0,"1",8,10,10,10,10,9,8,5,2,29,"Film","2",6,1,"MeetNewPpl","SVRL/Year","1/Week","Entertainment",3,1,2,7,7,7,6,2,5,9,9,8,10,9,8,7,4,3,30,15,20,10,10,15,50,0,25,10,15,0,3,7,6,8,6,0,0,0,0,0
"60","0","2",16,"0",-0.05,"0",30,"2",35,10,20,25,5,5,"0",6,6,7,5,6,6,5,6,2,23,"Engineering","4",2,2,"MeetNewPpl","AlmostNever","1/Week","Banking/Consulting",6,5,5,7,8,10,10,3,9,8,5,8,9,9,10,7,8,6,20,10,10,30,15,15,60,5,10,10,5,10,8,4,10,8,8,1,1,0,1,1
"61","0","2",21,"0",-0.26,"0",24,"4",20,16,16,17,16,15,"0",8,8,7,7,8,3,6,4,2,23,"English","2",8,5,"FunNightOut","SVRL/Year","1/Week","Journalism",10,10,8,9,9,8,10,3,8,9,8,9,10,7,10,5,9,6,20,20,20,15,10,15,30,15,20,15,5,15,8,10,8,10,8,0,0,1,1,1
"62","0","2",4,"1",0.31,"0",25,"1",30,15,20,20,0,5,"1",6,9,9,6,5,7,5,1,2,27,"Bio","4",3,1,"FunNightOut","1/Month","2/Month","Academic/Research",8,3,7,5,5,4,3,1,5,10,9,7,7,7,7,9,2,7,10,20,20,10,20,20,25,20,10,20,10,15,8,8,8,8,8,1,1,0,0,1
"63","0","2",18,"0",0.26,"0",24,"3",20,10,20,20,10,20,"1",7,8,8,8,8,7,5,7,2,24,"Film","2",6,3,"ToSayIDidIt","2/Month","SVRL/Week","Entertainment",5,5,5,7,8,8,6,5,6,9,6,4,8,7,8,8,7,2,20,10,20,35,5,10,40,5,20,15,10,10,7,7,10,9,8,0,0,0,1,1
"64","0","2",16,"0",0.49,"0",30,"2",30,3,30,30,3,4,"0",5,5,6,5,5,4,5,3,2,24,"SocialWork","6",5,5,"FunNightOut","2/Month","1/Week","SocialWork",5,5,1,8,7,7,6,2,7,6,6,8,7,8,8,7,6,1,50,20,10,5,10,5,70,5,5,5,10,5,10,10,10,10,10,1,1,1,1,1
"65","0","2",9,"0",0.45,"0",30,"2",31.58,10.53,15.79,21.05,10.53,10.53,"1",6,7,7,8,6,8,8,5,2,23,"PoliSci","4",3,10,"FunNightOut","SVRL/Year","SVRL/Week","Undecided",1,2,1,10,9,9,8,1,6,10,10,10,10,10,10,9,10,5,20,20,20,20,20,0,60,10,10,15,0,5,7,9,9,7,9,1,1,1,0,1
"66","1","2",14,"0",0.03,"1",25,"3",15.52,17.24,17.24,17.24,17.24,15.52,"0",8,8,8,7,8,7,7,6,2,28,"Business","3",4,9,"FunNightOut","AlmostNever","2/Week","Banking/Consulting",10,8,3,8,8,8,7,3,9,8,8,9,7,9,9,2,6,4,14.71,14.71,14.71,14.71,20.59,20.59,19.51,14.63,19.51,19.51,12.2,14.63,5,9,7,6,7,0,0,1,0,0
"67","1","2",10,"1",0.26,"0",25,"6",7,35,20,20,5,13,"1",6,10,9,9,4,5,6,5,2,27,"Business","2",1,5,"FunNightOut","1/Month","2/Week","Entertainment",9,2,5,7,7,9,8,1,5,9,5,5,9,8,9,8,5,7,25,20,25,20,10,0,15,15,15,20,20,15,7,6,7,8,7,1,1,0,0,0
"68","0","2",14,"0",0.59,"1",23,"2",17.02,21.28,17.02,21.28,14.89,8.51,"1",9,5,6,7,6,5,8,3,2,25,"Business","2",1,1,"FunNightOut","AlmostNever","2/Week","IntlAffairs",10,3,9,8,7,7,10,3,6,8,1,8,8,9,10,3,4,5,13.21,18.87,18.87,16.98,16.98,15.09,17.02,14.89,14.89,19.15,17.02,17.02,8,10,8,8,8,0,1,1,1,1
"69","1","2",22,"1",0.1,"1",26,"2",10,30,20,15,15,10,"1",9,7,8,9,8,6,8,3,2,30,"Business","2",8,8,"FunNightOut","SVRL/Year","SVRL/Week","Banking/Consulting",10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,40,10,20,10,0,20,30,20,20,0,10,20,10,10,10,10,10,1,1,1,1,1
"70","1","2",6,"0",-0.64,"0",23,"2",20,20,20,15,10,15,"0",5,5,7,8,7,4,5,3,2,23,"Engineering","4",3,8,"FunNightOut","AlmostNever","1/Week","DocMed",3,4,3,10,7,8,5,14,9,2,10,7,8,8,9,10,3,5,15,25,20,10,10,20,20,20,10,20,10,20,7,10,10,9,8,1,1,1,1,1
"71","1","2",7,"0",0.18,"0",24,"6",20,30,10,10,10,20,"0",6,7,7,5,6,5,7,5,2,30,"Business","4",6,6,"MeetNewPpl","2/Month","2/Week","Banking/Consulting",10,10,8,7,8,8,5,5,6,5,6,9,10,9,8,4,4,7,50,10,10,10,5,15,60,10,10,10,5,5,6,7,6,7,7,0,1,0,0,1
"72","0","2",7,"0",-0.06,"0",27,"2",30,15,15,20,5,15,"0",5,9,8,4,4,4,4,4,2,25,"Education","4",7,7,"FunNightOut","2/Week","SVRL/Week","Academic/Research",3,4,5,8,9,9,8,8,5,6,4,9,9,8,9,8,5,5,15,10,25,25,10,15,18,18,19,19,18,18,6,6,6,6,6,1,1,0,0,1
